t, ref_R, ref_th, Rv, thv
0.010450, 0.000000, 0.000000, 0.000451, 0.000104
0.010450, 0.000000, 0.000000, 0.000451, 0.000104
0.010500, 0.000000, 0.000000, 0.000451, 0.000104
0.010500, 0.000000, 0.000000, 0.000443, 0.000093
0.010550, 0.000000, 0.000000, 0.000443, 0.000093
0.010550, 0.000000, 0.000000, 0.000443, 0.000093
0.010600, 0.000000, 0.000000, 0.000443, 0.000093
0.010600, 0.000000, 0.000000, 0.000434, 0.000083
0.010650, 0.000000, 0.000000, 0.000434, 0.000083
0.010650, 0.000000, 0.000000, 0.000434, 0.000083
0.010700, 0.000000, 0.000000, 0.000434, 0.000083
0.010700, 0.000000, 0.000000, 0.000426, 0.000073
0.010750, 0.000000, 0.000000, 0.000426, 0.000073
0.010750, 0.000000, 0.000000, 0.000426, 0.000073
0.010800, 0.000000, 0.000000, 0.000426, 0.000073
0.010800, 0.000000, 0.000000, 0.000418, 0.000065
0.010850, 0.000000, 0.000000, 0.000418, 0.000065
0.010850, 0.000000, 0.000000, 0.000418, 0.000065
0.010900, 0.000000, 0.000000, 0.000418, 0.000065
0.010900, 0.000000, 0.000000, 0.000410, 0.000057
0.010950, 0.000000, 0.000000, 0.000410, 0.000057
0.010950, 0.000000, 0.000000, 0.000410, 0.000057
0.011000, 0.000000, 0.000000, 0.000410, 0.000057
0.011000, 0.000000, 0.000000, 0.000402, 0.000049
0.011050, 0.000000, 0.000000, 0.000402, 0.000049
0.011050, 0.000000, 0.000000, 0.000402, 0.000049
0.011100, 0.000000, 0.000000, 0.000402, 0.000049
0.011100, 0.000000, 0.000000, 0.000395, 0.000042
0.011150, 0.000000, 0.000000, 0.000395, 0.000042
0.011150, 0.000000, 0.000000, 0.000395, 0.000042
0.011200, 0.000000, 0.000000, 0.000395, 0.000042
0.011200, 0.000000, 0.000000, 0.000387, 0.000036
0.011250, 0.000000, 0.000000, 0.000387, 0.000036
0.011250, 0.000000, 0.000000, 0.000387, 0.000036
0.011300, 0.000000, 0.000000, 0.000387, 0.000036
0.011300, 0.000000, 0.000000, 0.000380, 0.000030
0.011350, 0.000000, 0.000000, 0.000380, 0.000030
0.011350, 0.000000, 0.000000, 0.000380, 0.000030
0.011400, 0.000000, 0.000000, 0.000380, 0.000030
0.011400, 0.000000, 0.000000, 0.000372, 0.000025
0.011450, 0.000000, 0.000000, 0.000372, 0.000025
0.011450, 0.000000, 0.000000, 0.000372, 0.000025
0.011500, 0.000000, 0.000000, 0.000372, 0.000025
0.011500, 0.000000, 0.000000, 0.000365, 0.000020
0.011550, 0.000000, 0.000000, 0.000365, 0.000020
0.011550, 0.000000, 0.000000, 0.000365, 0.000020
0.011600, 0.000000, 0.000000, 0.000365, 0.000020
0.011600, 0.000000, 0.000000, 0.000358, 0.000016
0.011650, 0.000000, 0.000000, 0.000358, 0.000016
0.011650, 0.000000, 0.000000, 0.000358, 0.000016
0.011700, 0.000000, 0.000000, 0.000358, 0.000016
0.011700, 0.000000, 0.000000, 0.000352, 0.000013
0.011750, 0.000000, 0.000000, 0.000352, 0.000013
0.011750, 0.000000, 0.000000, 0.000352, 0.000013
0.011800, 0.000000, 0.000000, 0.000352, 0.000013
0.011800, 0.000000, 0.000000, 0.000345, 0.000009
0.011850, 0.000000, 0.000000, 0.000345, 0.000009
0.011850, 0.000000, 0.000000, 0.000345, 0.000009
0.011900, 0.000000, 0.000000, 0.000345, 0.000009
0.011900, 0.000000, 0.000000, 0.000338, 0.000006
0.011950, 0.000000, 0.000000, 0.000338, 0.000006
